Year,Kenya,Sudan,Tanzania,Uganda,Rwanda
2000,0.41,0.07,0.32,0.52,0.46
2001,1.87,0.3,0.79,1.13,0.74
2002,3.6,0.53,1.69,1.52,0.92
2003,4.69,1.44,3.53,2.89,1.43
2004,7.31,2.8,5.14,4.2,1.48
2005,12.89,4.76,7.63,4.58,2.36
2006,19.97,11.9,14.04,6.76,3.25
2007,30.06,20.36,20.07,13.65,6.4
2008,42.05,28.95,30.71,26.92,12.94
2009,48.62,36.11,40.03,28.55,23.07
2010,61.03,41.54,46.66,37.74,32.75
2011,66.81,68.78,55.37,47.5,39.9
2012,71.17,74.36,56.96,45,49.67
2013,71.76,72.85,55.72,48.08,56.8
2014,73.84,72.2,62.77,52.43,64.02
2015,80.68,70.53,75.86,50.37,70.48
2016,81.28,68.63,74.36,55.07,69.92